org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
정부,4,1,10,3,5,3,4,5,3,2,3,5,3,0
정유라,1,1,5,0,1,2,3,2,0,1,1,2,0,0
정저우,0,1,0,3,1,1,0,0,0,0,1,1,1,2
정책,5,1,7,6,4,0,3,6,2,1,2,5,2,0
정혜영,0,0,0,1,0,0,0,0,0,0,1,1,0,0
제4편,1,0,0,1,1,0,0,0,0,0,1,2,1,0
제네시스,0,3,2,1,1,2,1,2,0,1,2,3,1,0
제로,1,2,3,2,0,2,0,2,0,0,1,2,0,0
제우스,0,1,0,0,0,3,0,1,0,1,1,0,0,0
제작,1,1,2,0,0,0,1,3,1,0,2,2,1,2
제조사,1,0,4,1,2,0,2,2,1,1,2,1,0,1
제품,8,13,15,11,7,6,11,13,7,2,12,13,8,7
조기,1,0,1,1,1,0,0,1,2,0,0,0,0,0
조사,0,1,0,3,1,1,0,0,0,0,1,1,1,2
조선,1,0,0,1,0,0,0,0,0,0,1,0,0,1
조위,0,1,0,0,0,3,0,1,0,1,1,0,0,0
조주완,1,2,1,2,1,0,2,0,2,1,2,3,1,0
조직,0,0,1,2,0,1,1,1,1,0,1,4,1,0
졸업생,2,1,3,1,1,1,1,5,1,0,2,0,1,1
