org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
기여한,4,3,1,1,3,1,2,1,2,3,0,1
기여했다.,4,3,1,1,3,1,2,1,2,3,0,1
기자,9,2,2,6,2,1,6,7,3,8,8,6
기준,0,1,0,2,1,0,1,2,2,0,4,0
기준대비,1,1,0,1,0,1,1,0,1,0,0,0
김보라,0,0,1,2,0,0,0,1,0,2,1,0
김영호,13,7,3,3,5,6,7,7,3,9,4,3
김종국,0,0,0,1,0,0,0,3,1,0,1,0
나가지,0,0,0,1,0,0,1,0,0,0,1,0
나섰다.,0,0,0,1,0,0,1,0,0,0,1,0
나온다.,5,2,1,1,1,0,3,4,2,2,3,1
낙폭,0,0,0,0,0,0,2,2,2,0,1,0
납품대금,1,1,1,3,1,1,1,0,0,0,0,0
내구,0,0,0,0,0,1,0,2,1,0,0,0
내구성,3,1,0,1,1,0,2,1,3,2,1,1
내년,23,6,7,7,9,4,15,14,7,23,8,5
내린,0,0,0,0,0,0,1,2,0,0,2,0
내부에서,1,1,2,2,0,1,1,1,3,0,2,1
너무,0,0,0,1,0,0,0,3,1,0,1,0
넘치,8,1,3,3,5,0,4,4,4,4,2,10
네트워크,4,4,6,6,2,2,5,2,4,1,2,1
넷마블,2,2,5,2,1,1,1,2,2,0,2,3
노인들,0,0,0,1,1,0,0,3,1,0,0,0
논리,0,0,0,0,0,0,0,1,0,0,1,0
농구,0,0,0,3,0,0,0,2,1,0,1,0
높은,9,5,6,7,2,1,10,7,6,7,7,1
뉴스타운TV,0,0,0,1,1,0,0,5,1,0,0,0
뉴시스,2,2,2,2,0,0,3,2,2,2,3,0
다른,1,2,3,3,0,1,1,7,3,0,4,1
다양한,8,8,7,14,5,7,8,7,9,4,9,6
다이소,0,0,0,0,1,0,0,2,1,0,0,0
단독,7,9,6,1,15,10,10,4,4,9,1,3
달러,5,1,1,1,1,0,2,3,1,2,1,1
대만,3,1,5,1,1,1,2,2,1,3,3,2
대비,14,16,7,9,7,9,12,13,8,8,10,2
대상,0,1,1,1,0,2,2,1,0,0,0,1
대원미디어,0,1,3,3,0,0,1,2,1,0,2,1
대전편,0,0,0,1,1,0,0,3,1,0,0,0
대죄,2,2,5,2,1,1,1,2,2,0,2,3
대표,3,1,5,7,1,0,3,4,3,0,3,1
대표이사,3,1,1,0,3,0,1,2,1,4,1,1
대한,4,1,1,0,1,0,2,3,1,5,1,1
대해,9,2,3,2,6,1,5,6,2,10,2,2
대해서,9,3,3,2,5,2,6,7,2,10,2,2
대형,13,8,6,3,5,6,8,9,7,10,4,5
대회,0,0,0,0,0,1,0,2,1,0,0,0
더퍼블릭,0,0,0,0,0,0,1,2,0,0,2,0
데이터,1,1,0,1,0,0,1,0,1,0,1,0
덱스,3,1,0,1,1,0,2,1,3,2,1,1
도경완,0,0,0,1,0,0,1,0,0,0,1,0
도입,1,0,0,4,2,5,2,2,0,0,1,0
도쿄게임쇼,12,2,5,3,7,0,6,7,6,6,3,15
돌아갔다.,5,1,1,1,1,1,2,2,0,2,1,1
동반성장,1,1,1,3,1,1,1,0,0,0,0,0
동안,0,0,0,1,0,0,0,3,1,0,1,0
드라마,0,0,0,1,1,0,0,5,1,0,0,0
드림클래스,0,1,0,2,0,1,0,2,0,0,0,0
등이,2,0,3,2,0,0,2,1,1,0,2,0
디딤펀드,1,0,0,2,0,0,2,2,2,0,1,0
디바이스,3,3,5,7,3,1,2,4,1,7,5,2
디스플레,143,59,51,44,62,32,91,78,57,110,55,53
디와이씨,4,5,1,4,3,2,3,4,3,3,3,1
디즈니,0,1,3,3,0,0,1,2,1,0,2,1
따돌릴,4,1,1,1,3,1,2,2,2,4,1,1
따라,4,1,2,1,1,1,2,3,3,3,2,2
따라온다,4,0,0,0,1,0,1,1,0,2,0,1
따르면,12,8,6,8,2,1,12,10,7,8,9,2
또한,0,1,1,1,0,2,2,1,0,0,0,1
라고,0,0,0,2,0,0,1,3,1,0,2,0
라그나로크,0,2,3,1,1,2,0,1,1,0,2,2
라닉스,6,10,4,4,2,6,6,6,4,2,4,0
라이더들,0,0,0,1,1,0,0,3,1,0,0,0
